"id","accession","organism","geographic_location","source_type","isolation_notes","collection_year","isolation_source","host","public_accession","project_accession","project_name","collected_by","sequenced_by","strain","attribute_package","isolate_name_alias","ifsac_category","serotype2","host_disease","collection_date","source_type_full"
497," SAMN07747812","Escherichia coli","USA:WA","animal","urine (Canis lupus)",2017,"urine (Canis lupus)",NA,"CFSAN070164","PRJNA318589",NA,"WADDL",NA,"ECOL-17-VL-OH-WA-0013","environmental/food/other","CFSAN070164","veterinary clinical/research| wild animal",NA,NA,"2017-04","animal"
500," SAMN06560503","Escherichia coli","USA:WA","food","soy nut butter",2017,"soy nut butter",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"WAPHLECOA00011","environmental/food/other","CFSAN061704","multi-ingredient| nuts| seeded vegetables (legumes)",NA,NA,"2017-03","food"
501," SAMN06555530","Escherichia coli","USA:WA","environmental","environmental swab sponge",2020,"environmental swab sponge",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"PSU-0023","environmental/food/other","CFSAN061695; E. coli 8.2522","environmental-factory/production facility",NA,NA,"2008","environmental"
502," SAMN06464731","Escherichia coli","USA:WA","food","retail raw milk",2017,"retail raw milk",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"WAPHLECOA00010","environmental/food/other","CFSAN060933","dairy",NA,NA,"2017-02","food"
503," SAMN06445902","Escherichia coli","USA:WA","food","retail raw milk",2017,"retail raw milk",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"WAPHLECOA00009","environmental/food/other","CFSAN060696","dairy",NA,NA,"2017-02","food"
504," SAMN06339265","Escherichia coli","USA:WA","food","retail raw milk",2017,"retail raw milk",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"WAPHLECOA00007","environmental/food/other","CFSAN060613","dairy",NA,NA,"2017-02","food"
505," SAMN06339264","Escherichia coli","USA:WA","food","retail raw milk",2017,"retail raw milk",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"WAPHLECOA00008","environmental/food/other","CFSAN060614","dairy",NA,NA,"2017-02","food"
506," SAMN06049496","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC663","clinical/host-associated","CFSAN057061, H2-2438","clinical/research| human",NA,NA,"1985","human"
507," SAMN05607375","Escherichia coli","USA:WA","human","Homo sapiens feces",2020,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1668","clinical/host-associated","CFSAN054349, EK35","clinical/research| human",NA,"diarrhea","2001","human"
508," SAMN05607374","Escherichia coli","USA:WA","human","Homo sapiens feces",2020,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1669","clinical/host-associated","CFSAN054350, EK36","clinical/research| human",NA,"diarrhea","2001","human"
509," SAMN05605267","Escherichia coli","USA:WA","human","Homo sapiens feces",1999,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1755","clinical/host-associated","CFSAN054397, EK34","clinical/research| human",NA,NA,"1999","human"
510," SAMN05605266","Escherichia coli","USA:WA","human","Homo sapiens feces",2000,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1756","clinical/host-associated","CFSAN054398, EK37","clinical/research| human",NA,NA,"2000","human"
511," SAMN05605256","Escherichia coli","USA:WA","food","food",1989,"food",NA,NA,NA,NA,"Michigan State University",NA,"MOD1-EC1920","environmental/food/other","CFSAN054413, PT-89-10","multi-ingredient",NA,NA,"1989","food"
512," SAMN05605255","Escherichia coli","USA:WA","food","food",NA,"food",NA,NA,NA,NA,"Michigan State University",NA,"MOD1-EC1921","environmental/food/other","CFSAN054414, PT-89-2","multi-ingredient",NA,NA,NA,"food"
513," SAMN05605254","Escherichia coli","USA:WA","food","pork",NA,"pork",NA,NA,NA,NA,"Michigan State University",NA,"MOD1-EC1922","environmental/food/other","CFSAN054415, PT-89-5","pig",NA,NA,NA,"food"
514," SAMN05596349","Escherichia coli","USA:WA","animal","heifer feces (Bos taurus)",2014,"heifer feces (Bos taurus)",NA,NA,NA,NA,"USDA-FSIS",NA,"MOD1-EC3581","environmental/food/other","CFSAN054867,210124833","veterinary clinical/research| cow",NA,NA,"2014-11-17","animal"
515," SAMN05596189","Escherichia coli","USA:WA","animal","steer feces (Bos taurus)",2014,"steer feces (Bos taurus)",NA,NA,NA,NA,"USDA-FSIS",NA,"MOD1-EC3552","environmental/food/other","CFSAN054838,210123761","veterinary clinical/research| cow",NA,NA,"2014-11-10","animal"
516," SAMN05596183","Escherichia coli","USA:WA","animal","steer feces (Bos taurus)",2014,"steer feces (Bos taurus)",NA,NA,NA,NA,"USDA-FSIS",NA,"MOD1-EC3558","environmental/food/other","CFSAN054844,210123767","veterinary clinical/research| cow",NA,NA,"2014-11-10","animal"
517," SAMN05591739","Escherichia coli","USA:WA","human","Homo sapiens feces",1991,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1496","clinical/host-associated","CFSAN054265, TB285C","clinical/research| human",NA,NA,"1991","human"
518," SAMN05591734","Escherichia coli","USA:WA","human","Homo sapiens feces",1991,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1507","clinical/host-associated","CFSAN054270, TB154A","clinical/research| human",NA,NA,"1991","human"
519," SAMN05591695","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC728","clinical/host-associated","CFSAN054234, 168-2P6(B)","clinical/research| human",NA,"Urosepsis","1985","human"
520," SAMN05591681","Escherichia coli","USA:WA","human","Homo sapiens feces",1991,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1394","clinical/host-associated","CFSAN054248, TB227C","clinical/research| human",NA,NA,"1991","human"
521," SAMN05591680","Escherichia coli","USA:WA","human","Homo sapiens feces",1991,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1395","clinical/host-associated","CFSAN054249, TB285A","clinical/research| human",NA,NA,"1991","human"
522," SAMN05591669","Escherichia coli","USA:WA","human","Homo sapiens feces",1991,"feces","Homo sapiens",NA,NA,NA,"Michigan State University",NA,"MOD1-EC1491","clinical/host-associated","CFSAN054260, TB226A","clinical/research| human",NA,NA,"1991","human"
523," SAMN05591664","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC715","clinical/host-associated","CFSAN054221, PM6","clinical/research| human",NA,"Urosepsis","1985","human"
524," SAMN05591663","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC716","clinical/host-associated","CFSAN054222, PM7","clinical/research| human",NA,"Urosepsis","1985","human"
525," SAMN05591662","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC717","clinical/host-associated","CFSAN054223, PM8","clinical/research| human",NA,"Urosepsis","1985","human"
526," SAMN05591661","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC718","clinical/host-associated","CFSAN054224, PM9","clinical/research| human",NA,"Urosepsis","1985","human"
527," SAMN05591660","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC719","clinical/host-associated","CFSAN054225, 78-2H4(B1)","clinical/research| human",NA,"Urosepsis","1985","human"
528," SAMN05591659","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC720","clinical/host-associated","CFSAN054226, c(V)","clinical/research| human",NA,"Urosepsis","1985","human"
529," SAMN05591658","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC721","clinical/host-associated","CFSAN054227, 20-2H25(B)","clinical/research| human",NA,"Urosepsis","1985","human"
530," SAMN05591657","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC722","clinical/host-associated","CFSAN054228, 51-2H17(B)","clinical/research| human",NA,"Urosepsis","1985","human"
531," SAMN05591656","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC723","clinical/host-associated","CFSAN054229, 77-2H18(B)","clinical/research| human",NA,"Urosepsis","1985","human"
532," SAMN05591655","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC724","clinical/host-associated","CFSAN054230, 66-2H24(B)","clinical/research| human",NA,"Urosepsis","1985","human"
533," SAMN05591654","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC725","clinical/host-associated","CFSAN054231, 189-2H19(B)","clinical/research| human",NA,"Urosepsis","1985","human"
534," SAMN05591653","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC726","clinical/host-associated","CFSAN054232, 5-2H21(B)","clinical/research| human",NA,"Urosepsis","1985","human"
535," SAMN05591652","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC727","clinical/host-associated","CFSAN054233, 46-2P9(B)","clinical/research| human",NA,"Urosepsis","1985","human"
536," SAMN05591650","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC714","clinical/host-associated","CFSAN054220, PM5","clinical/research| human",NA,"Urosepsis","1985","human"
537," SAMN05591577","Escherichia coli","USA:WA","human","Homo sapiens feces",1947,"feces","Homo sapiens",NA,NA,NA,"Children's Hospital and Medical Center, Seattle",NA,"MOD1-EC539","clinical/host-associated","CFSAN054158, TB-226","clinical/research| human",NA,NA,"1947","human"
538," SAMN05591576","Escherichia coli","USA:WA","human","Homo sapiens feces",1947,"feces","Homo sapiens",NA,NA,NA,"Children's Hospital and Medical Center, Seattle",NA,"MOD1-EC540","clinical/host-associated","CFSAN054159, TB-285","clinical/research| human",NA,NA,"1947","human"
539," SAMN05591575","Escherichia coli","USA:WA","human","Homo sapiens feces",1947,"feces","Homo sapiens",NA,NA,NA,"Children's Hospital and Medical Center, Seattle",NA,"MOD1-EC541","clinical/host-associated","CFSAN054160, TB-154","clinical/research| human",NA,NA,"1947","human"
540," SAMN05591574","Escherichia coli","USA:WA","human","Homo sapiens feces",1947,"feces","Homo sapiens",NA,NA,NA,"Children's Hospital and Medical Center, Seattle",NA,"MOD1-EC549","clinical/host-associated","CFSAN054161, TB-334","clinical/research| human",NA,NA,"1947","human"
541," SAMN05591573","Escherichia coli","USA:WA","human","Homo sapiens feces",1947,"feces","Homo sapiens",NA,NA,NA,"Children's Hospital and Medical Center, Seattle",NA,"MOD1-EC550","clinical/host-associated","CFSAN054162, TB-352","clinical/research| human",NA,NA,"1947","human"
542," SAMN05591566","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC662","clinical/host-associated","CFSAN054169, H1-2469","clinical/research| human",NA,"Urosepsis","1985","human"
543," SAMN05591565","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC664","clinical/host-associated","CFSAN054170, H3-2336","clinical/research| human",NA,"Urosepsis","1985","human"
544," SAMN05591564","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC665","clinical/host-associated","CFSAN054171, H5-2631","clinical/research| human",NA,"Urosepsis","1985","human"
545," SAMN05591563","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC666","clinical/host-associated","CFSAN054172, H7-2495","clinical/research| human",NA,"Urosepsis","1985","human"
546," SAMN05591562","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC667","clinical/host-associated","CFSAN054173, H8-2467","clinical/research| human",NA,"Urosepsis","1985","human"
547," SAMN05591561","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC668","clinical/host-associated","CFSAN054174, H9-2188","clinical/research| human",NA,"Urosepsis","1985","human"
548," SAMN05591560","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC669","clinical/host-associated","CFSAN054175, H15-2267","clinical/research| human",NA,"Urosepsis","1985","human"
549," SAMN05591559","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC670","clinical/host-associated","CFSAN054176, H16-2264","clinical/research| human",NA,"Urosepsis","1985","human"
550," SAMN05591558","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC671","clinical/host-associated","CFSAN054177, H17-2934","clinical/research| human",NA,"Urosepsis","1985","human"
551," SAMN05591557","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC672","clinical/host-associated","CFSAN054178, H18-2878","clinical/research| human",NA,"Urosepsis","1985","human"
552," SAMN05591556","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC673","clinical/host-associated","CFSAN054179, H19-2894","clinical/research| human",NA,"Urosepsis","1985","human"
553," SAMN05591555","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC674","clinical/host-associated","CFSAN054180, H25-2916","clinical/research| human",NA,"Urosepsis","1985","human"
554," SAMN05591554","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC675","clinical/host-associated","CFSAN054181, H26-2866","clinical/research| human",NA,"Urosepsis","1985","human"
555," SAMN05591553","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC676","clinical/host-associated","CFSAN054182, H27-2834","clinical/research| human",NA,"Urosepsis","1985","human"
556," SAMN05591552","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC677","clinical/host-associated","CFSAN054183, H35-2851","clinical/research| human",NA,"Urosepsis","1985","human"
557," SAMN05591551","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC678","clinical/host-associated","CFSAN054184, H38-2906","clinical/research| human",NA,"Urosepsis","1985","human"
558," SAMN05591550","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC679","clinical/host-associated","CFSAN054185, V1","clinical/research| human",NA,"Urosepsis","1985","human"
559," SAMN05591549","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC680","clinical/host-associated","CFSAN054186, V3","clinical/research| human",NA,"Urosepsis","1985","human"
560," SAMN05591548","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC681","clinical/host-associated","CFSAN054187, V5","clinical/research| human",NA,"Urosepsis","1985","human"
561," SAMN05591547","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC682","clinical/host-associated","CFSAN054188, V6","clinical/research| human",NA,"Urosepsis","1985","human"
562," SAMN05591546","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC683","clinical/host-associated","CFSAN054189, V7","clinical/research| human",NA,"Urosepsis","1985","human"
563," SAMN05591545","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC684","clinical/host-associated","CFSAN054190, V8","clinical/research| human",NA,"Urosepsis","1985","human"
564," SAMN05591544","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC685","clinical/host-associated","CFSAN054191, V9","clinical/research| human",NA,"Urosepsis","1985","human"
565," SAMN05591543","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC686","clinical/host-associated","CFSAN054192, V10","clinical/research| human",NA,"Urosepsis","1985","human"
566," SAMN05591542","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC687","clinical/host-associated","CFSAN054193, V11","clinical/research| human",NA,"Urosepsis","1985","human"
567," SAMN05591541","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC688","clinical/host-associated","CFSAN054194, V12","clinical/research| human",NA,"Urosepsis","1985","human"
568," SAMN05591540","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC689","clinical/host-associated","CFSAN054195, V14","clinical/research| human",NA,"Urosepsis","1985","human"
569," SAMN05591539","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC690","clinical/host-associated","CFSAN054196, V15","clinical/research| human",NA,"Urosepsis","1985","human"
570," SAMN05591538","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC691","clinical/host-associated","CFSAN054197, V16","clinical/research| human",NA,"Urosepsis","1985","human"
571," SAMN05591537","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC692","clinical/host-associated","CFSAN054198, V19","clinical/research| human",NA,"Urosepsis","1985","human"
572," SAMN05591536","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC693","clinical/host-associated","CFSAN054199, V20","clinical/research| human",NA,"Urosepsis","1985","human"
573," SAMN05591535","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC694","clinical/host-associated","CFSAN054200, V21","clinical/research| human",NA,"Urosepsis","1985","human"
574," SAMN05591534","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC695","clinical/host-associated","CFSAN054201, V22","clinical/research| human",NA,"Urosepsis","1985","human"
575," SAMN05591533","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC696","clinical/host-associated","CFSAN054202, V23","clinical/research| human",NA,"Urosepsis","1985","human"
576," SAMN05591532","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC697","clinical/host-associated","CFSAN054203, V24","clinical/research| human",NA,"Urosepsis","1985","human"
577," SAMN05591531","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC698","clinical/host-associated","CFSAN054204, V26","clinical/research| human",NA,"Urosepsis","1985","human"
578," SAMN05591530","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC699","clinical/host-associated","CFSAN054205, V27","clinical/research| human",NA,"Urosepsis","1985","human"
579," SAMN05591529","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC700","clinical/host-associated","CFSAN054206, V28","clinical/research| human",NA,"Urosepsis","1985","human"
580," SAMN05591528","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC701","clinical/host-associated","CFSAN054207, V29","clinical/research| human",NA,"Urosepsis","1985","human"
581," SAMN05591527","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC702","clinical/host-associated","CFSAN054208, V31","clinical/research| human",NA,"Urosepsis","1985","human"
582," SAMN05591526","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC703","clinical/host-associated","CFSAN054209, V32","clinical/research| human",NA,"Urosepsis","1985","human"
583," SAMN05591525","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC704","clinical/host-associated","CFSAN054210, U1","clinical/research| human",NA,"Urosepsis","1985","human"
584," SAMN05591524","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC705","clinical/host-associated","CFSAN054211, U3","clinical/research| human",NA,"Urosepsis","1985","human"
585," SAMN05591523","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC706","clinical/host-associated","CFSAN054212, U4","clinical/research| human",NA,"Urosepsis","1985","human"
586," SAMN05591522","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC707","clinical/host-associated","CFSAN054213, U5","clinical/research| human",NA,"Urosepsis","1985","human"
587," SAMN05591521","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC708","clinical/host-associated","CFSAN054214, U6","clinical/research| human",NA,"Urosepsis","1985","human"
588," SAMN05591520","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC709","clinical/host-associated","CFSAN054215, U7","clinical/research| human",NA,"Urosepsis","1985","human"
589," SAMN05591519","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC710","clinical/host-associated","CFSAN054216, PM1","clinical/research| human",NA,"Urosepsis","1985","human"
590," SAMN05591518","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC711","clinical/host-associated","CFSAN054217, PM2","clinical/research| human",NA,"Urosepsis","1985","human"
591," SAMN05591517","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC712","clinical/host-associated","CFSAN054218, PM3","clinical/research| human",NA,"Urosepsis","1985","human"
592," SAMN05591516","Escherichia coli","USA:WA","human","Homo sapiens blood",1985,"blood","Homo sapiens",NA,NA,NA,"University of Minnesota",NA,"MOD1-EC713","clinical/host-associated","CFSAN054219, PM4","clinical/research| human",NA,"Urosepsis","1985","human"
593," SAMN05452816","Escherichia coli","USA:WA","animal","Gorilla",NA,"gorilla","Gorilla (gorilla)",NA,NA,NA,NA,NA,"MOD1-ECOR57","environmental/food/other","ECOR57; CFSAN038979","other animal",NA,NA,NA,"wild animal"
594," SAMN05439439","Escherichia coli","USA:WA","food","food",2010,"food",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"MOD1-EC5987","environmental/food/other","CFSAN044224, BC1","multi-ingredient",NA,NA,"2010-02-02","food"
595," SAMN05439309","Escherichia coli","USA:WA","animal","Macaca nigra (ape)",NA,"celebe ape (Macaca nigra)","Macaca nigra (Celebes ape)",NA,NA,NA,NA,NA,"MOD1-ECOR65","environmental/food/other","ECOR65; CFSAN038987","other animal",NA,NA,NA,"wild animal"
596," SAMN05439308","Escherichia coli","USA:WA","animal","Macaca nigra (ape)",NA,"celebe ape (Macaca nigra)","Macaca nigra (Celebes ape)",NA,NA,NA,NA,NA,"MOD1-ECOR66","environmental/food/other","ECOR66; CFSAN038988","other animal",NA,NA,NA,"wild animal"
597," SAMN05439307","Escherichia coli","USA:WA","animal","Macaca nigra (ape)",NA,"celebese ape (Macaca nigra)","Macaca nigra (Celebes ape)",NA,NA,NA,NA,NA,"MOD1-ECOR69","environmental/food/other","ECOR69; CFSAN038991","wild animal",NA,NA,NA,"wild animal"
598," SAMN05439306","Escherichia coli","USA:WA","animal","Gorilla",NA,"gorilla","Gorilla (gorilla)",NA,NA,NA,NA,NA,"MOD1-ECOR70","environmental/food/other","ECOR70; CFSAN038992","other animal",NA,NA,NA,"wild animal"
599," SAMN05366684","Escherichia coli","USA:WA","food","retail raw whole goat milk",2016,"retail raw whole goat milk",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"WAPHL-ECO-A00006","environmental/food/other","CFSAN052786","dairy| other animal","O26",NA,"2016-06","food"
600," SAMN04992323","Escherichia coli","USA:WA","animal","Accipitridae pericardial sac",1998,"pericardial sac","Accipitridae",NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"MOD1-EC6957","environmental/food/other","CFSAN050665,15624-1","veterinary clinical/research",NA,NA,"1998-02-26","wild animal"
601," SAMN04992192","Escherichia coli","USA:WA","animal","Mink intestine",1995,"intestine mink mustelidae","mink",NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"MOD1-EC6826","environmental/food/other","CFSAN050534,95-6569","veterinary clinical/research| other animal",NA,NA,"1995-10-10","wild animal"
602," SAMN04992191","Escherichia coli","USA:WA","animal","Mink lung",1995,"mustelidae mink lung","mink",NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"MOD1-EC6825","environmental/food/other","CFSAN050533,95-6350","veterinary clinical/research| other animal",NA,NA,"1995-10-10","wild animal"
603," SAMN04992190","Escherichia coli","USA:WA","animal","Mink lung",1995,"mustelidae mink lung","mink",NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"MOD1-EC6824","environmental/food/other","CFSAN050532,95-55550-LUNG-3","veterinary clinical/research| other animal",NA,NA,"1995-10-06","wild animal"
604," SAMN04914018","Escherichia coli","USA:WA",NA,NA,NA,"cheddar cheese","orangutan",NA,NA,NA,NA,NA,"MOD1-EC2773","environmental/food/other","TW02045","dairy",NA,"healthy",NA,NA
